Hotel,Price,City,Address
Cowrie Guest House,"₦3,600","Karu, Abuja","No 1, Zanyabelo Street, Jikwoyi Road Dugudna, Off CBN Quarters Junction, Karu, Abuja."
Bisola Lodge,"₦3,500","Lugbe, Abuja","Kings Of Kngs Road, Off Total Filling Station, FHA"
Cupid Suites Restaurant ,"₦4,500","Kubwa, Abuja",Plot C32 Sultan Dasuki Road 2/2 Kubwa
New Under The Wave Hotel,"₦3,500","Gwagwalada, Abuja","Opposite Radio House, Kutunku"
Top Franky Palace Hotel,"₦3,900","Kubwa, Abuja","78/79 Bama Street, Off Gayata Road, Behind Stanbic IBTC Bank"
Cottage Hotel,"₦5,250","Mpape, Abuja",Berger Quarry Road
MS-MARRIOTT APARTMENTS,"₦4,800","Kubwa, Abuja","Plot 28, Allen Avenue Street, Gidi Dutse, Along Gadi Nasko Way , Opposite Ignibis Hotel"
Jeparo Hotel ,"₦3,500","Gwagwalada, Abuja",Kaduna/Lokoja Road
Ignobis Hotel,"₦4,000","Kubwa, Abuja","Plot 147 Cadastral Zone 05-07, Gado Nasko Road, Phase 4"
House 7 ,"₦3,000","Asokoro, Abuja","Plot 913, Behind INEC Quarters, Beside Club 40/40, Behind INEC Quarters, Kuruduma, Asokoro Extension, Abuja."
Riverview Hotel,"₦3,500","Gwagwalada, Abuja","6, Garba Jibril Street, Sharp Corner Road"
Choice Guest House,"₦3,000","Jahi, Abuja","Opposite Vigilante Office, Jahi II, FCT Abuja"
Laredo Hotel,"₦2,000","Mpape, Abuja","8 Jikoko Road By Berger Quarry Road, Mpape"
